return_id,order_id,return_timestamp_utc,return_amount,currency_code,return_reason,source_updated_at,ingested_at
RMA-000058,SO-202608-00584,2026-09-02T18:06:49Z,43.43,USD,Changed mind,2026-09-02T18:12:47Z,2026-09-26T17:15:00Z
RMA-000059,SO-202608-00262,2026-09-02T19:24:23Z,878.80,CAD,Changed mind,2026-09-02T19:49:58Z,2026-09-26T17:15:00Z
RMA-000060,SO-202608-00777,2026-09-03T03:04:11Z,1611.61,CAD,Wrong item,2026-09-03T03:31:32Z,2026-09-26T17:15:00Z
RMA-000061,SO-202608-00434,2026-09-03T06:19:49Z,2136.09,CAD,Wrong item,2026-09-03T06:58:16Z,2026-09-26T17:15:00Z
RMA-000062,SO-202608-00863,2026-09-03T15:55:37Z,38.08,CAD,Wrong item,2026-09-03T16:54:03Z,2026-09-26T17:15:00Z
RMA-000063,SO-202608-00610,2026-09-04T09:44:01Z,1245.25,CAD,Defective,2026-09-04T10:43:20Z,2026-09-26T17:15:00Z
RMA-000064,SO-202608-00851,2026-09-04T19:29:16Z,904.41,CAD,Wrong item,2026-09-04T19:48:16Z,2026-09-26T17:15:00Z
RMA-000065,SO-202608-00959,2026-09-05T19:28:56Z,50.72,CAD,Changed mind,2026-09-05T19:37:55Z,2026-09-26T17:15:00Z
RMA-000066,SO-202608-00749,2026-09-06T06:14:47Z,84.42,CAD,Wrong item,2026-09-06T06:47:33Z,2026-09-26T17:15:00Z
RMA-000067,SO-202608-00573,2026-09-07T07:11:26Z,1300.22,CAD,Wrong item,2026-09-07T07:13:53Z,2026-09-26T17:15:00Z
RMA-000068,SO-202608-01096,2026-09-07T14:39:45Z,65.43,CAD,Wrong item,2026-09-07T15:39:05Z,2026-09-26T17:15:00Z
RMA-000069,SO-202608-00900,2026-09-08T05:23:39Z,188.39,CAD,Changed mind,2026-09-08T06:01:16Z,2026-09-26T17:15:00Z
RMA-000070,SO-202608-00788,2026-09-08T07:56:37Z,1795.01,CAD,Wrong item,2026-09-08T07:58:06Z,2026-09-26T17:15:00Z
RMA-000071,SO-202608-00300,2026-09-08T14:49:55Z,1959.15,USD,Changed mind,2026-09-08T15:38:29Z,2026-09-26T17:15:00Z
RMA-000072,SO-202608-00321,2026-09-08T19:25:37Z,157.45,USD,Wrong item,2026-09-08T19:41:41Z,2026-09-26T17:15:00Z
RMA-000073,SO-202608-00747,2026-09-10T05:17:04Z,510.12,CAD,Wrong item,2026-09-10T05:23:53Z,2026-09-26T17:15:00Z
RMA-000074,SO-202608-00543,2026-09-10T09:08:15Z,1557.06,USD,Wrong item,2026-09-10T09:31:33Z,2026-09-26T17:15:00Z
RMA-000075,SO-202608-00563,2026-09-11T07:47:05Z,1750.54,CAD,Defective,2026-09-11T07:54:17Z,2026-09-26T17:15:00Z
RMA-000076,SO-202608-01014,2026-09-12T01:21:54Z,659.76,CAD,Changed mind,2026-09-12T01:40:12Z,2026-09-26T17:15:00Z
RMA-000077,SO-202608-00515,2026-09-13T14:07:52Z,172.54,CAD,Defective,2026-09-13T14:55:01Z,2026-09-26T17:15:00Z
RMA-000078,SO-202608-00649,2026-09-13T20:36:02Z,1053.93,CAD,Changed mind,2026-09-13T20:40:02Z,2026-09-26T17:15:00Z
RMA-000079,SO-202608-00694,2026-09-14T04:39:23Z,2077.87,CAD,Defective,2026-09-14T05:24:37Z,2026-09-26T17:15:00Z
RMA-000080,SO-202608-00624,2026-09-15T05:38:36Z,368.04,CAD,Changed mind,2026-09-15T06:16:57Z,2026-09-26T17:15:00Z
RMA-000081,SO-202608-00700,2026-09-15T10:40:30Z,55.99,CAD,Wrong item,2026-09-15T10:50:23Z,2026-09-26T17:15:00Z
RMA-000082,SO-202608-01011,2026-09-18T07:14:08Z,671.48,CAD,Defective,2026-09-18T08:06:11Z,2026-09-26T17:15:00Z
RMA-000083,SO-202608-00929,2026-09-18T13:40:10Z,175.51,CAD,Changed mind,2026-09-18T13:46:58Z,2026-09-26T17:15:00Z
RMA-000084,SO-202608-00692,2026-09-18T14:06:57Z,721.17,CAD,Defective,2026-09-18T14:10:24Z,2026-09-26T17:15:00Z
RMA-000085,SO-202608-00738,2026-09-18T19:49:15Z,1000.88,CAD,Defective,2026-09-18T20:01:04Z,2026-09-26T17:15:00Z
RMA-000086,SO-202608-00862,2026-09-19T18:58:45Z,1038.26,CAD,Changed mind,2026-09-19T19:43:32Z,2026-09-26T17:15:00Z
RMA-000087,SO-202608-00865,2026-09-20T20:25:36Z,941.65,CAD,Defective,2026-09-20T20:56:14Z,2026-09-26T17:15:00Z
RMA-000088,SO-202608-00954,2026-09-21T02:11:56Z,47.54,CAD,Wrong item,2026-09-21T03:03:50Z,2026-09-26T17:15:00Z
RMA-000089,SO-202608-01112,2026-09-22T22:27:06Z,193.04,CAD,Service cancelled,2026-09-22T23:17:10Z,2026-09-26T17:15:00Z
RMA-000090,SO-202608-01078,2026-09-25T12:22:31Z,1626.98,USD,Wrong item,2026-09-25T12:34:43Z,2026-09-26T17:15:00Z
RMA-000091,SO-202608-00963,2026-09-25T16:56:52Z,18.89,CAD,Wrong item,2026-09-25T17:33:33Z,2026-09-26T17:15:00Z
RMA-000092,SO-202608-00980,2026-09-25T23:57:46Z,864.02,CAD,Defective,2026-09-26T00:57:02Z,2026-09-26T17:15:00Z
RMA-000093,SO-202608-00975,2026-09-26T01:58:05Z,420.62,CAD,Defective,2026-09-26T02:14:51Z,2026-09-26T17:15:00Z
